year,term,wave,interest
2018,neobank,wave1,1.0
2019,neobank,wave1,1.0
2020,neobank,wave1,1.4166666666666667
2021,neobank,wave1,3.3333333333333335
2022,neobank,wave1,5.166666666666667
2023,neobank,wave1,4.25
2024,neobank,wave1,4.333333333333333
2025,neobank,wave1,6.583333333333333
2026,neobank,wave1,8.285714285714286
2018,digital bank app,wave1,0.0
2019,digital bank app,wave1,0.0
2020,digital bank app,wave1,0.5
2021,digital bank app,wave1,0.9166666666666666
2022,digital bank app,wave1,1.0
2023,digital bank app,wave1,1.0833333333333333
2024,digital bank app,wave1,1.0
2025,digital bank app,wave1,7.0
2026,digital bank app,wave1,14.428571428571429
2018,mobile banking,wave1,87.91666666666667
2019,mobile banking,wave1,90.5
2020,mobile banking,wave1,89.83333333333333
2021,mobile banking,wave1,82.91666666666667
2022,mobile banking,wave1,80.0
2023,mobile banking,wave1,76.58333333333333
2024,mobile banking,wave1,62.666666666666664
2025,mobile banking,wave1,66.83333333333333
2026,mobile banking,wave1,87.14285714285714
2018,AI agent finance,wave2,0.0
2019,AI agent finance,wave2,0.0
2020,AI agent finance,wave2,0.0
2021,AI agent finance,wave2,0.0
2022,AI agent finance,wave2,0.0
2023,AI agent finance,wave2,0.0
2024,AI agent finance,wave2,0.08333333333333333
2025,AI agent finance,wave2,12.0
2026,AI agent finance,wave2,61.857142857142854
2018,agentic AI banking,wave2,0.0
2019,agentic AI banking,wave2,0.0
2020,agentic AI banking,wave2,0.0
2021,agentic AI banking,wave2,0.0
2022,agentic AI banking,wave2,0.0
2023,agentic AI banking,wave2,0.0
2024,agentic AI banking,wave2,0.0
2025,agentic AI banking,wave2,3.1666666666666665
2026,agentic AI banking,wave2,10.571428571428571
2018,autonomous wealth management,wave2,0.0
2019,autonomous wealth management,wave2,0.0
2020,autonomous wealth management,wave2,0.0
2021,autonomous wealth management,wave2,0.0
2022,autonomous wealth management,wave2,0.0
2023,autonomous wealth management,wave2,0.0
2024,autonomous wealth management,wave2,0.0
2025,autonomous wealth management,wave2,0.4166666666666667
2026,autonomous wealth management,wave2,2.2857142857142856
