date,neobank,digital bank app,mobile banking
2018-01-01,1,0,86
2018-02-01,1,0,88
2018-03-01,1,0,91
2018-04-01,1,0,80
2018-05-01,1,0,81
2018-06-01,1,0,85
2018-07-01,1,0,90
2018-08-01,1,0,89
2018-09-01,1,0,93
2018-10-01,1,0,88
2018-11-01,1,0,90
2018-12-01,1,0,94
2019-01-01,1,0,93
2019-02-01,1,0,97
2019-03-01,1,0,95
2019-04-01,1,0,89
2019-05-01,1,0,90
2019-06-01,1,0,88
2019-07-01,1,0,90
2019-08-01,1,0,91
2019-09-01,1,0,91
2019-10-01,1,0,85
2019-11-01,1,0,90
2019-12-01,1,0,87
2020-01-01,2,0,85
2020-02-01,2,0,82
2020-03-01,1,0,90
2020-04-01,2,0,100
2020-05-01,2,1,92
2020-06-01,1,0,92
2020-07-01,1,1,92
2020-08-01,1,1,91
2020-09-01,1,1,94
2020-10-01,2,1,86
2020-11-01,1,0,85
2020-12-01,1,1,89
2021-01-01,2,1,84
2021-02-01,2,0,87
2021-03-01,2,1,90
2021-04-01,2,1,83
2021-05-01,2,1,84
2021-06-01,2,1,84
2021-07-01,2,1,89
2021-08-01,2,1,88
2021-09-01,4,1,78
2021-10-01,8,1,76
2021-11-01,6,1,76
2021-12-01,6,1,76
2022-01-01,7,1,81
2022-02-01,8,1,83
2022-03-01,6,1,85
2022-04-01,6,1,79
2022-05-01,6,1,74
2022-06-01,5,1,81
2022-07-01,4,1,82
2022-08-01,4,1,81
2022-09-01,4,1,85
2022-10-01,4,1,76
2022-11-01,4,1,75
2022-12-01,4,1,78
2023-01-01,4,1,78
2023-02-01,5,1,79
2023-03-01,5,1,82
2023-04-01,4,1,77
2023-05-01,4,1,74
2023-06-01,4,1,76
2023-07-01,4,1,79
2023-08-01,4,1,77
2023-09-01,4,1,77
2023-10-01,4,1,74
2023-11-01,4,1,69
2023-12-01,5,2,77
2024-01-01,6,1,71
2024-02-01,5,1,64
2024-03-01,4,1,68
2024-04-01,4,1,59
2024-05-01,4,1,62
2024-06-01,4,1,62
2024-07-01,4,1,64
2024-08-01,4,1,63
2024-09-01,4,1,60
2024-10-01,4,1,61
2024-11-01,5,1,60
2024-12-01,4,1,58
2025-01-01,4,1,58
2025-02-01,5,1,57
2025-03-01,6,1,61
2025-04-01,5,1,53
2025-05-01,5,1,52
2025-06-01,5,2,59
2025-07-01,5,4,66
2025-08-01,9,14,77
2025-09-01,9,16,81
2025-10-01,9,14,78
2025-11-01,9,13,75
2025-12-01,8,16,85
2026-01-01,8,14,81
2026-02-01,9,14,87
2026-03-01,9,14,83
2026-04-01,8,15,90
2026-05-01,8,17,95
2026-06-01,8,18,96
2026-07-01,8,9,78
